file1,file2,score,user_relation,score_with_nonoise,score_denoise
1.wav,77.wav,tensor([0.1794]),different,tensor([0.0592]),tensor([0.1789])
1.wav,78.wav,tensor([0.0775]),different,tensor([0.0806]),tensor([0.0501])
1.wav,79.wav,tensor([0.1620]),different,tensor([0.0514]),tensor([0.2276])
1.wav,80.wav,tensor([0.2001]),different,tensor([0.2384]),tensor([0.2479])
1.wav,81.wav,tensor([0.5088]),different,tensor([0.3930]),tensor([0.4602])
1.wav,82.wav,tensor([0.3564]),different,tensor([0.2407]),tensor([0.4227])
1.wav,83.wav,tensor([0.3697]),different,tensor([0.3032]),tensor([0.4246])
1.wav,84.wav,tensor([0.3933]),different,tensor([0.3401]),tensor([0.4708])
1.wav,85.wav,tensor([0.4306]),different,tensor([0.3233]),tensor([0.4397])
1.wav,86.wav,tensor([0.1959]),different,tensor([0.1293]),tensor([0.2070])
1.wav,87.wav,tensor([0.2265]),different,tensor([0.1104]),tensor([0.2366])
1.wav,88.wav,tensor([0.2103]),different,tensor([0.0891]),tensor([0.2174])
1.wav,89.wav,tensor([0.1731]),different,tensor([0.0221]),tensor([0.2404])
1.wav,90.wav,tensor([0.2315]),different,tensor([0.1327]),tensor([0.1825])
1.wav,91.wav,tensor([0.0376]),different,tensor([0.0425]),tensor([0.2136])
1.wav,92.wav,tensor([0.0918]),different,tensor([0.0461]),tensor([0.2062])
1.wav,93.wav,tensor([0.2305]),different,tensor([0.0927]),tensor([0.1464])
1.wav,94.wav,tensor([0.1284]),different,tensor([0.0821]),tensor([0.1459])
1.wav,95.wav,tensor([0.0453]),different,tensor([0.0246]),tensor([0.0420])
1.wav,96.wav,tensor([0.3022]),different,tensor([0.1573]),tensor([0.2980])
1.wav,97.wav,tensor([0.1906]),different,tensor([0.1257]),tensor([0.3410])
1.wav,98.wav,tensor([0.1762]),different,tensor([0.1579]),tensor([0.2041])
1.wav,99.wav,tensor([0.1466]),different,tensor([0.1870]),tensor([0.2495])
1.wav,100.wav,tensor([0.2438]),different,tensor([0.1280]),tensor([0.2881])
1.wav,101.wav,tensor([0.1636]),different,tensor([0.0794]),tensor([0.2381])
1.wav,102.wav,tensor([0.0758]),different,tensor([-0.0158]),tensor([0.2023])
1.wav,103.wav,tensor([0.0835]),different,tensor([0.0417]),tensor([0.1811])
1.wav,104.wav,tensor([0.0927]),different,tensor([0.0096]),tensor([0.1835])
1.wav,105.wav,tensor([0.0622]),different,tensor([-0.0041]),tensor([0.1965])
1.wav,106.wav,tensor([0.1727]),different,tensor([0.0310]),tensor([0.1260])
1.wav,107.wav,tensor([0.1481]),different,tensor([0.0047]),tensor([0.1702])
1.wav,108.wav,tensor([0.0910]),different,tensor([-0.0021]),tensor([0.0628])
1.wav,109.wav,tensor([0.1569]),different,tensor([0.0644]),tensor([0.0975])
1.wav,110.wav,tensor([0.1729]),different,tensor([0.0488]),tensor([0.2105])
1.wav,111.wav,tensor([0.1953]),different,tensor([0.2173]),tensor([0.2098])
1.wav,112.wav,tensor([0.2378]),different,tensor([0.1856]),tensor([0.1810])
1.wav,113.wav,tensor([0.2001]),different,tensor([0.2135]),tensor([0.2322])
1.wav,114.wav,tensor([0.2528]),different,tensor([0.1629]),tensor([0.1794])
1.wav,115.wav,tensor([0.2383]),different,tensor([0.1943]),tensor([0.1792])
1.wav,116.wav,tensor([0.1338]),different,tensor([0.1101]),tensor([0.2299])
1.wav,117.wav,tensor([0.0821]),different,tensor([-0.0413]),tensor([0.1582])
1.wav,118.wav,tensor([0.1127]),different,tensor([0.0409]),tensor([0.2008])
1.wav,119.wav,tensor([0.1187]),different,tensor([0.0969]),tensor([0.1694])
1.wav,120.wav,tensor([0.1455]),different,tensor([0.0205]),tensor([0.2095])
1.wav,121.wav,tensor([0.1662]),different,tensor([0.2938]),tensor([0.2735])
1.wav,122.wav,tensor([0.2848]),different,tensor([0.2896]),tensor([0.3388])
1.wav,123.wav,tensor([0.0843]),different,tensor([0.0058]),tensor([0.0978])
1.wav,124.wav,tensor([0.3827]),different,tensor([0.3655]),tensor([0.4514])
1.wav,125.wav,tensor([0.3924]),different,tensor([0.3740]),tensor([0.4311])
1.wav,126.wav,tensor([0.2019]),different,tensor([0.1219]),tensor([0.3085])
1.wav,127.wav,tensor([0.2192]),different,tensor([0.1098]),tensor([0.2944])
1.wav,128.wav,tensor([0.1324]),different,tensor([0.0138]),tensor([0.2641])
1.wav,129.wav,tensor([0.2200]),different,tensor([0.1841]),tensor([0.3068])
1.wav,130.wav,tensor([0.1791]),different,tensor([0.0505]),tensor([0.2153])
1.wav,131.wav,tensor([0.0439]),different,tensor([-0.0397]),tensor([0.1333])
1.wav,132.wav,tensor([0.1466]),different,tensor([0.0600]),tensor([0.1915])
1.wav,133.wav,tensor([0.1620]),different,tensor([0.0595]),tensor([0.2518])
1.wav,134.wav,tensor([0.0977]),different,tensor([-0.0607]),tensor([0.2128])
1.wav,135.wav,tensor([0.1119]),different,tensor([-0.0203]),tensor([0.2993])
1.wav,136.wav,tensor([0.0876]),different,tensor([0.0288]),tensor([0.2878])
1.wav,137.wav,tensor([0.0744]),different,tensor([0.0793]),tensor([0.2140])
1.wav,138.wav,tensor([0.0159]),different,tensor([0.0319]),tensor([0.1766])
1.wav,139.wav,tensor([0.1963]),different,tensor([0.0053]),tensor([0.2701])
1.wav,140.wav,tensor([0.1429]),different,tensor([0.0201]),tensor([0.2205])
1.wav,141.wav,tensor([0.2432]),different,tensor([0.2038]),tensor([0.3889])
1.wav,142.wav,tensor([0.1782]),different,tensor([0.1276]),tensor([0.3265])
1.wav,143.wav,tensor([0.3075]),different,tensor([0.1453]),tensor([0.3378])
1.wav,144.wav,tensor([0.1538]),different,tensor([0.1171]),tensor([0.3313])
1.wav,145.wav,tensor([0.2349]),different,tensor([0.1595]),tensor([0.2989])
1.wav,146.wav,tensor([-0.0380]),different,tensor([-0.0205]),tensor([0.1386])
1.wav,147.wav,tensor([0.0647]),different,tensor([0.0536]),tensor([0.1252])
1.wav,148.wav,tensor([0.0121]),different,tensor([0.0370]),tensor([0.0570])
1.wav,149.wav,tensor([0.1286]),different,tensor([0.1428]),tensor([0.2133])
1.wav,150.wav,tensor([-0.0231]),different,tensor([-0.0270]),tensor([0.1513])
1.wav,151.wav,tensor([-0.0053]),different,tensor([0.0237]),tensor([0.1520])
1.wav,152.wav,tensor([-0.0121]),different,tensor([0.0586]),tensor([0.0551])
1.wav,153.wav,tensor([-0.0239]),different,tensor([0.0490]),tensor([0.1300])
1.wav,154.wav,tensor([-0.0768]),different,tensor([-0.0292]),tensor([0.0517])
1.wav,155.wav,tensor([0.0079]),different,tensor([0.0337]),tensor([0.1024])
1.wav,156.wav,tensor([0.1543]),different,tensor([0.1322]),tensor([0.2737])
1.wav,157.wav,tensor([0.1421]),different,tensor([0.0733]),tensor([0.2529])
1.wav,158.wav,tensor([0.1259]),different,tensor([0.0752]),tensor([0.2689])
1.wav,159.wav,tensor([0.1389]),different,tensor([0.1602]),tensor([0.2846])
1.wav,160.wav,tensor([0.1736]),different,tensor([0.1116]),tensor([0.2702])
1.wav,161.wav,tensor([-0.0064]),different,tensor([0.0051]),tensor([0.2603])
1.wav,162.wav,tensor([0.0698]),different,tensor([0.0677]),tensor([0.1332])
1.wav,163.wav,tensor([0.0877]),different,tensor([0.0138]),tensor([0.2054])
1.wav,164.wav,tensor([0.0550]),different,tensor([0.0197]),tensor([0.2137])
1.wav,165.wav,tensor([0.0641]),different,tensor([0.0709]),tensor([0.2208])
1.wav,166.wav,tensor([0.3052]),different,tensor([0.2104]),tensor([0.4605])
1.wav,167.wav,tensor([0.3057]),different,tensor([0.2534]),tensor([0.4513])
1.wav,168.wav,tensor([0.3607]),different,tensor([0.2273]),tensor([0.3719])
1.wav,169.wav,tensor([0.3109]),different,tensor([0.3108]),tensor([0.4418])
1.wav,170.wav,tensor([0.2518]),different,tensor([0.2968]),tensor([0.4256])
1.wav,171.wav,tensor([0.0570]),different,tensor([0.0655]),tensor([0.2031])
1.wav,172.wav,tensor([0.0534]),different,tensor([0.0583]),tensor([0.1621])
1.wav,173.wav,tensor([0.0956]),different,tensor([0.0706]),tensor([0.2569])
1.wav,174.wav,tensor([0.0577]),different,tensor([0.0660]),tensor([0.2294])
1.wav,175.wav,tensor([0.0953]),different,tensor([0.0762]),tensor([0.2563])
1.wav,176.wav,tensor([0.2231]),different,tensor([0.1610]),tensor([0.3283])
1.wav,177.wav,tensor([0.2896]),different,tensor([0.2804]),tensor([0.3548])
1.wav,178.wav,tensor([0.2637]),different,tensor([0.1764]),tensor([0.3134])
1.wav,179.wav,tensor([0.2556]),different,tensor([0.2181]),tensor([0.3160])
1.wav,180.wav,tensor([0.3048]),different,tensor([0.2219]),tensor([0.3275])
1.wav,181.wav,tensor([0.2449]),different,tensor([0.1307]),tensor([0.2612])
1.wav,182.wav,tensor([0.0477]),different,tensor([0.0497]),tensor([0.2322])
1.wav,183.wav,tensor([0.0902]),different,tensor([0.1348]),tensor([0.2525])
1.wav,184.wav,tensor([0.0393]),different,tensor([0.0062]),tensor([0.1935])
1.wav,185.wav,tensor([0.0768]),different,tensor([0.0797]),tensor([0.2437])
1.wav,186.wav,tensor([0.2107]),different,tensor([0.0816]),tensor([0.2569])
1.wav,187.wav,tensor([0.1527]),different,tensor([0.0767]),tensor([0.2831])
1.wav,188.wav,tensor([0.1586]),different,tensor([0.0340]),tensor([0.2398])
1.wav,189.wav,tensor([0.1305]),different,tensor([0.1257]),tensor([0.2479])
